uniprot_domain_id_1	uniprot_domain_id_2	uniprot_domain_pair_id
15018	18612	522
34014	34014	523
34014	34015	524
34014	34016	525
34015	34015	526
34015	34016	527
34016	34016	528
5639	19000	529
28076	9422	530
28077	9422	531
24327	32036	532
24328	32036	533
5542	21001	534
4588	3656	535
3775	5107	536
16584	16300	537
32341	12019	538
13860	16300	539
33241	18662	540
18562	19755	541
23462	30115	542
23462	30116	543
30115	23463	544
23463	30116	545
25982	4478	546
16977	16977	547
7741	25982	548
32535	21214	549
32536	21214	550
21214	32537	551
10097	8102	552
6088	31714	553
11428	11428	554
11429	11429	555
144	16112	556
144	16113	557
3213	33276	558
14166	26998	559
19730	24605	560
10939	863	561
862	10940	562
10940	863	563
6228	15261	564
15260	6229	565
6229	15261	566
23509	14445	567
30286	16300	568
19696	30034	569
15589	26230	570
27975	12719	571
28759	4966	572
4967	28760	573
28760	4968	574
3754	32609	575
3755	32609	576
6394	20279	577
6394	20280	578
3754	21464	579
3755	21464	580
6560	2639	581
6561	2639	582
19502	754	583
15718	15718	584
10630	29688	585
11785	13843	586
2451	2451	587
15561	18096	588
15561	18097	589
15562	18096	590
15562	18097	591
10968	12633	592
10971	12633	593
10971	12634	594
25535	1924	595
24411	3068	596
27085	19652	597
32650	2631	598
15995	1453	599
15996	1453	600
15997	1453	601
15998	1453	602
15999	1453	603
4573	30625	604
33393	7280	605
7279	33394	606
33394	7281	607
7280	33395	608
15353	25874	609
870	24452	610
870	24455	611
12294	18724	612
12295	18723	613
10599	14466	614
22028	19756	615
22029	19756	616
29248	29248	617
29249	29249	618
29249	29250	619
29250	29250	620
7763	15020	621
9971	13293	622
12817	29995	623
12817	26364	624
16086	16086	625
7965	28369	626
30885	1876	627
5683	21525	628
5683	21527	629
5710	21525	630
5710	21527	631
21523	5727	632
5727	21525	633
5727	21526	634
5727	21527	635
21523	5729	636
5729	21525	637
5729	21526	638
5729	21527	639
21526	5730	640
21523	5731	641
5731	21525	642
5731	21526	643
5731	21527	644
21523	5734	645
5734	21525	646
5734	21526	647
5734	21527	648
21526	5735	649
21523	5736	650
5736	21525	651
5736	21526	652
5736	21527	653
21523	5738	654
5738	21525	655
5738	21526	656
5738	21527	657
21526	5739	658
21523	5740	659
5740	21525	660
5740	21526	661
5740	21527	662
21523	5742	663
5742	21525	664
5742	21526	665
5742	21527	666
21526	5743	667
21523	5744	668
5744	21525	669
5744	21526	670
5744	21527	671
21523	5746	672
5746	21525	673
5746	21526	674
5746	21527	675
21526	5747	676
21523	5748	677
5748	21525	678
5748	21526	679
5748	21527	680
21523	5750	681
5750	21525	682
5750	21526	683
5750	21527	684
21526	5751	685
21523	5752	686
5752	21525	687
5752	21526	688
5752	21527	689
21523	5754	690
5754	21525	691
5754	21526	692
5754	21527	693
21526	5755	694
21523	5756	695
5756	21525	696
5756	21526	697
5756	21527	698
21523	5758	699
5758	21525	700
5758	21526	701
5758	21527	702
21526	5759	703
21523	5760	704
5760	21525	705
5760	21526	706
5760	21527	707
21523	5762	708
5762	21525	709
5762	21526	710
5762	21527	711
21523	5764	712
5764	21525	713
5764	21526	714
5764	21527	715
21526	5765	716
21523	5766	717
5766	21525	718
5766	21526	719
5766	21527	720
21523	5768	721
5768	21525	722
5768	21526	723
5768	21527	724
21523	5770	725
5770	21525	726
5770	21526	727
5770	21527	728
21526	5771	729
21523	5772	730
5772	21525	731
5772	21526	732
5772	21527	733
21523	5774	734
5774	21525	735
5774	21526	736
5774	21527	737
21523	5776	738
5776	21525	739
5776	21526	740
5776	21527	741
21526	5777	742
21523	5778	743
5778	21525	744
5778	21526	745
5778	21527	746
21523	5780	747
5780	21525	748
5780	21526	749
5780	21527	750
21523	5782	751
5782	21525	752
5782	21526	753
5782	21527	754
21526	5783	755
21523	5784	756
5784	21525	757
5784	21526	758
5784	21527	759
21523	5786	760
5786	21525	761
5786	21526	762
5786	21527	763
21523	5788	764
5788	21525	765
5788	21526	766
5788	21527	767
21526	5789	768
21523	5790	769
5790	21525	770
5790	21526	771
5790	21527	772
21523	5792	773
5792	21525	774
5792	21526	775
5792	21527	776
21523	5794	777
5794	21525	778
5794	21526	779
5794	21527	780
21526	5795	781
21523	5796	782
5796	21525	783
5796	21526	784
5796	21527	785
21523	5798	786
5798	21525	787
5798	21526	788
5798	21527	789
21523	5800	790
5800	21525	791
5800	21526	792
5800	21527	793
21526	5801	794
21523	5802	795
5802	21525	796
5802	21526	797
5802	21527	798
21523	5804	799
5804	21525	800
5804	21526	801
5804	21527	802
21523	5806	803
5806	21525	804
5806	21526	805
5806	21527	806
21526	5807	807
21523	5808	808
5808	21525	809
5808	21526	810
5808	21527	811
21523	5810	812
5810	21525	813
5810	21526	814
5810	21527	815
21523	5812	816
5812	21525	817
5812	21526	818
5812	21527	819
21526	5813	820
21523	5814	821
5814	21525	822
5814	21526	823
5814	21527	824
21523	5816	825
5816	21525	826
5816	21526	827
5816	21527	828
21523	5818	829
5818	21525	830
5818	21526	831
5818	21527	832
21526	5819	833
21523	5820	834
5820	21525	835
5820	21526	836
5820	21527	837
21523	5822	838
5822	21525	839
5822	21526	840
5822	21527	841
5824	21525	842
5824	21527	843
21526	5825	844
5826	21525	845
5826	21527	846
5827	21524	847
21525	5827	848
5827	21526	849
21527	5827	850
5828	21525	851
21526	5828	852
5828	21527	853
21523	5831	854
5831	21525	855
5831	21526	856
5831	21527	857
21523	5832	858
5832	21525	859
5832	21526	860
5832	21527	861
28076	3897	862
28077	3897	863
29471	14861	864
17448	15096	865
19345	18060	866
2448	2448	867
6269	27387	868
926	7806	869
25982	30607	870
25982	30608	871
3771	4077	872
1112	17908	873
28566	6652	874
10953	10509	875
28087	33543	876
17358	23017	877
26526	23882	878
23393	17026	879
17025	23394	880
23394	17026	881
21626	17574	882
21626	17575	883
2316	26731	884
2316	26732	885
26731	2317	886
2317	26732	887
24327	24327	888
24327	24328	889
24328	24327	890
24328	24328	891
24329	24329	892
17531	10145	893
30717	33460	894
30718	33460	895
30717	33461	896
30718	33461	897
32710	23882	898
17312	34172	899
13632	29680	900
4304	4304	901
15409	1693	902
1694	15409	903
10541	23497	904
10541	23498	905
9971	8420	906
16988	26291	907
16988	2989	908
9880	6698	909
19179	8758	910
19179	8759	911
19180	8758	912
19180	8759	913
19181	8758	914
19181	8759	915
19183	8759	916
8758	19184	917
19184	8759	918
8760	19184	919
19185	8759	920
19185	8760	921
16948	28773	922
16948	28774	923
16949	28773	924
16949	28774	925
16950	28773	926
16950	28774	927
16951	28773	928
16951	28774	929
16952	28773	930
16952	28774	931
28772	16953	932
16953	28773	933
16953	28774	934
16953	28775	935
33289	24901	936
33289	24902	937
500	5542	938
501	5542	939
502	5542	940
29346	18807	941
26526	24207	942
18269	2618	943
30457	2755	944
30458	2755	945
